delito,x,y,porcentaje
1,-103.3322488,20.58461885,20
3,-103.3700927,20.73928533,60
3,-103.4196233,20.67719168,60
4,-103.2554025,20.67814606,80
4,-103.4281229,20.7502501,80
4,-103.4431764,20.46940773,80
1,-103.3454997,20.70450003,20
4,-103.3562788,20.71579416,80
1,-103.3468291,20.73193614,20
4,-103.3786279,20.6792212,80
4,-103.3781687,20.70064354,80
3,-103.2983805,20.67891039,60
2,-103.3429747,20.77372212,40
1,-103.2946078,20.68841922,20
4,-103.4072732,20.70995934,80
4,-103.2719983,20.66368041,80
4,-103.3578367,20.69881568,80
1,-103.4253078,20.67978209,20
4,-103.333019,20.66519383,80
4,-103.409155,20.67128693,80
4,-103.4408773,20.64120615,80
1,-103.3305413,20.6172121,20
1,-103.446769,20.76565896,20
2,-103.306468,20.61292197,40
3,-103.3612602,20.64731985,60
4,-103.3594036,20.6740096,80
4,-103.3210226,20.66296976,80
4,-103.3728094,20.65832053,80
5,-103.4549928,20.54053546,100
4,-103.2770535,20.64093143,80
2,-103.4182207,20.63278864,40
2,-103.4152756,20.62343915,40
3,-103.393466,20.74193524,60
1,-103.4315527,20.6024945,20
4,-103.346042,20.61373931,80
4,-103.3309311,20.62702848,80
4,-103.3486776,20.66253462,80
3,-103.3836372,20.58816611,60
3,-103.3511983,20.59049143,60
1,-103.3952845,20.62707453,20
4,-103.3486756,20.66252774,80
1,-103.3567818,20.67342475,20
3,-103.3921699,20.72828293,60
3,-103.2969403,20.68917035,60
4,-103.318265,20.61590067,80
3,-103.2393389,20.60113165,60
3,-103.2557472,20.62692426,60
3,-103.3502299,20.61273104,60
3,-103.3008665,20.65371723,60
3,-103.3225842,20.63846555,60
3,-103.393222,20.62950637,60
2,-103.2838264,20.60257261,40
4,-103.3334072,20.62902207,80
3,-103.2667347,20.64798218,60
2,-103.369942,20.54476658,40
3,-103.36725,20.6821382,60
1,-103.4200282,20.64173926,20
4,-103.349633,20.73369742,80
4,-103.3874726,20.71995006,80
3,-103.3131188,20.6799723,60
3,-103.2554774,20.62534078,60
3,-103.3008904,20.65480323,60
1,-103.5037573,20.48432956,20
1,-103.3812062,20.68397624,20
5,-103.3389102,20.58424031,100
2,-103.3027263,20.64233297,40
2,-103.3224488,20.698359,40
4,-103.3650825,20.67550796,80
3,-103.2398608,20.60914908,60
3,-103.3673307,20.67769833,60
1,-103.3632173,20.74018657,20
3,-103.3041962,20.6179311,60
2,-103.2908482,20.69978749,40
3,-103.2917472,20.66300186,60
4,-103.3477242,20.68191543,80
4,-103.4283157,20.5322326,80
1,-103.3521794,20.64237469,20
4,-103.3146998,20.60769099,80
4,-103.4435677,20.47962877,80
1,-103.3145038,20.70708491,20
4,-103.3612602,20.64731985,80
3,-103.3531674,20.70471066,60
4,-103.2422347,20.61798026,80
1,-103.271033,20.68735766,20
2,-103.3940323,20.67218186,40
3,-103.4199023,20.62419517,60
3,-103.3577618,20.64975934,60
2,-103.3425512,20.68367636,40
4,-103.2598355,20.62480637,80
3,-103.3529323,20.71540084,60
3,-103.2273085,20.64508864,60
1,-103.3514078,20.6772195,20
4,-103.279793,20.67744555,80
2,-103.3606456,20.7098854,40
2,-103.3445355,20.73887858,40
3,-103.3632428,20.75209249,60
1,-103.347288,20.62440933,20
3,-103.3774236,20.66958873,60
4,-103.3045418,20.68821999,80
4,-103.2944575,20.68031427,80
4,-103.3946023,20.65998785,80
2,-103.1597388,20.56404599,40
1,-103.3162548,20.70444001,20
2,-103.3246907,20.69864251,40
3,-103.3838646,20.66308166,60
4,-103.3217747,20.59066913,80
3,-103.2443705,20.48596859,60
3,-103.2989869,20.69923803,60
2,-103.36158,20.73796689,40
1,-103.3521006,20.54631406,20
4,-103.3763705,20.64114678,80
4,-103.4240633,20.61908493,80
3,-103.2464088,20.63383918,60
4,-103.39351,20.50784069,80
2,-103.3457231,20.64331761,40
1,-103.3651287,20.56862585,20
3,-103.4436753,20.61425732,60
4,-103.3544148,20.71592088,80
3,-103.258484,20.68652355,60
4,-103.4203793,20.72745124,80
3,-103.3646713,20.70056667,60
2,-103.3933518,20.490329,40
1,-103.4319488,20.60690644,20
4,-103.3961335,20.67455966,80
4,-103.3111446,20.64598586,80
3,-103.3841,20.64186854,60
4,-103.374616,20.74553394,80
3,-103.4058286,20.72873525,60
1,-103.3464108,20.58075307,20
4,-103.3785976,20.66049433,80
3,-103.3076907,20.64479553,60
4,-103.311632,20.43157693,80
4,-103.3191712,20.63037149,80
1,-103.2970645,20.71688358,20
2,-103.3736955,20.52454631,40
4,-103.2790071,20.63616346,80
4,-103.3443267,20.67084162,80
3,-103.4190731,20.59855065,60
4,-103.3129103,20.67192472,80
1,-103.4594138,20.64923177,20
1,-103.3866344,20.64316766,20
4,-103.4091772,20.64149506,80
4,-103.2612075,20.63698776,80
4,-103.2949619,20.63727023,80
1,-103.3419312,20.7028355,20
1,-103.5469879,20.72592933,20
1,-103.4552881,20.62917655,20
4,-103.3233794,20.65022976,80
4,-103.3676197,20.69714071,80
3,-103.2611859,20.60594148,60
4,-103.3757662,20.69207592,80
5,-103.3413268,20.56389357,100
4,-103.3480827,20.67515927,80
4,-103.4161909,20.62059225,80
1,-103.3810987,20.61574282,20
